DPID,Lat,Lon
00446742,22.282532,114.232649
00040069,22.282532,114.232649
00663413,22.28989,114.200999
00844126,22.282532,114.232649
10418226,22.28989,114.200999
00944039,22.282532,114.232649
00914113,22.28989,114.200999
00809642,22.285617,114.213826
00801239,22.285617,114.213826
00261600,22.28989,114.200999
00442085,22.269492,114.183299
00915142,22.285617,114.213826
00768000,22.285617,114.213826
00746372,22.285617,114.213826
00917185,22.28989,114.200999
00044939,22.27873,114.181815
00177842,22.27873,114.181815
00172839,22.283883,114.156478
00371639,22.28224,114.156599
00983385,22.2801648,114.1587177
00178869,22.3133856,114.1685055
00246698,22.3180874,114.1589222
00681942,22.3206,114.1694808
